Metric,Strategy,NIFTY
CAGR,0.0013214591568453393,0.10699730227052462
Volatility,0.17002853879359628,0.18068610182731748
Sharpe,-0.28991598719098033,0.30475831654508967
Sortino,-0.38635120829651043,
Max Drawdown,-0.38369312683084567,-0.3839026387154638
Calmar,0.0034440521980679513,0.27870947339288166
