Date,mom_20_norm,vol_signal_norm,trend_signal_norm,dd_signal_norm,vix_signal_norm,breadth_signal_norm
2020-01-15,0.0813544734302818,-0.2846255800515707,0.1682988828225727,0.9057478904536213,-0.8494433710867368,-0.8785688742456459
2020-01-16,0.008974906960333,-0.3013140527630714,0.1626160687084407,0.9038614336959748,0.0364752996323155,-0.9830719345136923
2020-01-17,-0.057342041413714,-0.3175452256278152,0.1547555327781987,0.9011009701165316,-0.0385529328676985,-1.0240598395645464
2020-01-20,-0.2801988686954837,-0.3160679905732581,0.1411994220059576,0.862885252120459,0.5816451689619812,-0.9806896536988636
2020-01-21,-0.3529806251487896,-0.3112385257941482,0.1169222856980973,0.8094941639727166,1.029133806641244,-0.9809933212938
2020-01-22,-0.3771542430505422,-0.2983997237927998,0.0942646933382082,0.7439103284572962,1.162529530284834,-1.157650943735836
2020-01-23,-0.1183079410965098,-0.285143338924238,0.0818362138855564,0.6953186919053751,0.879872284478266,-1.293757777272508
2020-01-24,-0.2010709335443095,-0.2783316293079846,0.0611407674643523,0.6664385371658018,0.7549168842456179,-1.0740801153086263
2020-01-27,-0.4231194606917693,-0.2722514417675757,0.0341948059224495,0.6371560575253079,0.8647402816414211,-1.030632336853056
2020-01-28,-0.3858353818941452,-0.2704711502739048,0.0115220358627266,0.6055154392062914,0.684347147467084,-0.6689262052598695
2020-01-29,-0.2899709815624234,-0.2655945894426261,-0.0065601557830077,0.6117852054400212,0.0528969589277099,-0.5108977394922369
2020-01-30,-0.5969018843261719,-0.2620985388602979,-0.0395558189034139,0.5716830306863024,0.448680111587853,-0.4956702078638489
2020-01-31,-0.6276835223969333,-0.2499312817945217,-0.0733928072567672,0.4922968772736636,0.8777532543462495,0.3444057537565153
2020-02-03,-0.6694708675317192,-0.2407141042964413,-0.0982970570597533,0.3782463020274165,-0.7108486164666479,0.3762813997778989
2020-02-04,-0.3237873140417769,-0.1778906303634497,-0.1051292127870294,0.3571203163041598,-1.4879322142896554,0.3220223897998905
2020-02-05,-0.1013313212883669,-0.1125962570937637,-0.1002335916812169,0.3459262016535124,-1.231035305250555,0.4846656323184795
2020-02-06,-0.3296395301331729,-0.0651738825965917,-0.112741871014169,0.3742655883781128,-1.602139388315447,0.5644152634808174
2020-02-07,-0.4575314366037525,-0.0198269897453682,-0.1305034248193379,0.4120651642544461,-1.8953033245653272,0.4774795823314577
2020-02-10,-0.6772343414669917,0.0145426366811205,-0.1681934750815622,0.5018407825158909,-0.8804205452125095,0.6149537762060822
2020-02-11,-0.6070032181442986,0.0014538124375963,-0.2048212770790166,0.5374209337536148,-0.3486128179205367,0.5611540627955537
2020-02-12,-0.4298832420710853,-0.0119299661713066,-0.2339761049971983,0.568506695912979,-0.3821336568332233,0.594133231420659
2020-02-13,-0.4909308897426562,-0.0046569735894921,-0.2645045228230168,0.5786883606277755,-0.3076964238415428,0.3258715172806152
2020-02-14,-0.582812920064672,0.0047533594310099,-0.3011627525522929,0.5828776871886683,-0.1381947013285734,-0.4986649684765504
2020-02-17,-0.4906386491013076,0.0103845113121933,-0.3318874804844007,0.5868448545450127,0.0670900081716071,-0.265116269098183
2020-02-18,-0.4896745972893102,0.0121997136384719,-0.3588992697787676,0.5548295457627145,0.3063292672471083,-0.1950609153129693
2020-02-19,-0.1743209737301378,0.0170663609754,-0.3686577535676991,0.5339392655369654,0.1842284236245016,-0.3295669582168585
2020-02-20,-0.3645669074483131,0.0197117254641696,-0.3913649267299817,0.5079162949085725,0.1479401345403781,-0.271330264707285
2020-02-24,-0.8730446158866011,0.0501406758706546,-0.444181184965764,0.4291129030190843,1.951931072125079,-0.0613949446454554
2020-02-25,-0.722595588037474,0.0800867369654219,-0.4725165799985671,0.3603386445856609,1.4272463269912496,-0.0193894999228924
2020-02-26,-0.8163792992354497,0.1150747226350519,-0.5062633674013729,0.2732262275202038,2.0299809388039503,0.1688793673400066
2020-02-27,-1.0041670783260006,0.1358679313891349,-0.5461737844234017,0.1365649928422542,2.086291974458553,0.2303130345233715
2020-02-28,-1.5587706208928722,0.243040384917385,-0.6202294854061993,-0.1073219237626989,3.0,0.5966869829829414
2020-03-02,-1.55943537604559,0.3208924479388487,-0.6768668738094279,-0.3005923039440328,3.0,0.7726006784634367
2020-03-03,-0.8801014201048853,0.40352738487502,-0.6719541639355339,-0.4378083947816347,3.0,0.5558061113330672
2020-03-04,-1.393234641522605,0.4359209032834538,-0.7198938795860825,-0.5564088989073768,2.5791043114405805,-0.021297568750959
