Date,nifty_close,nifty_ret,bank_close,bank_ret,relative_strength,breadth_signal
2018-01-02,10442.2001953125,,25337.955078125,0.0007958980201372423,,
2018-01-03,10443.2001953125,9.576525840304662e-05,25318.3046875,-0.0007755318282163248,-0.0008712970866193714,
2018-01-04,10504.7998046875,0.0058985376343401175,25462.302734375,0.005687507463566277,-0.00021103017077384045,
2018-01-05,10558.849609375,0.005145248428569005,25601.552734375,0.005468869074909177,0.0003236206463401725,
2018-01-08,10623.599609375,0.006132296831134809,25675.80078125,0.002900138426967569,-0.00323215840416724,
2018-01-09,10637.0,0.0012613794869653638,25703.501953125,0.001078882489820021,-0.00018249699714534273,
2018-01-10,10632.2001953125,-0.0004512366915013777,25617.00390625,-0.0033652242030188795,-0.002913987511517502,
2018-01-11,10651.2001953125,0.0017870242895141608,25660.6015625,0.0017019030176033123,-8.51212719108485e-05,
2018-01-12,10681.25,0.00282125996474325,25748.751953125,0.003435242560869023,0.0006139825961257728,
2018-01-15,10741.5498046875,0.005645388385020489,26068.896484375,0.012433399950134039,0.00678801156511355,
2018-01-16,10700.4501953125,-0.003826227138756466,25974.59765625,-0.0036172926683536444,0.00020893447040282176,4.384578358481717e-05
2018-01-17,10788.5498046875,0.008233261943837888,26288.794921875,0.012096328489207497,0.003863066545369609,0.0005172821467837152
2018-01-18,10817.0,0.002637073177355065,26537.091796875,0.0094449698336454,0.006807896656290335,0.0012191748294901328
2018-01-19,10894.7001953125,0.007183155709762357,26909.1875,0.014021721218480332,0.006838565508717975,0.0018706693157279131
2018-01-22,10966.2001953125,0.006562824007838586,27040.884765625,0.004894137573830504,-0.001668686434008082,0.0020270165127438287
2018-01-23,11083.7001953125,0.010714741469905364,27390.28125,0.012921044832791884,0.002206303362886519,0.002265896548747015
2018-01-24,11086.0,0.00020749430668232094,27398.232421875,0.00029029172071748377,8.279741403516283e-05,0.0025655750413022815
2018-01-25,11069.650390625,-0.001474797886974577,27445.33203125,0.0017190747435733567,0.0031938726305479337,0.0028934744315481597
2018-01-29,11130.400390625,0.005487978197707966,27498.12890625,0.0019237105581337843,-0.0035642676395741812,0.002475649407978164
2018-01-30,11049.650390625,-0.0072549052294663685,27268.734375,-0.008342186918683825,-0.0010872816892174564,0.0016881200825450637
2018-01-31,11027.7001953125,-0.001986505865481769,27379.130859375,0.004048463814155356,0.0060349696796371255,0.002270723603468494
2018-02-01,11016.900390625,-0.000979334267002474,27220.3828125,-0.00579814047751781,-0.004818806210515336,0.0014025363278799996
2018-02-02,10760.599609375,-0.023264327729431322,26450.84375,-0.028270692142750353,-0.005006364413319031,0.00022111022091906297
