Date,nifty_close,nifty_ret,bank_close,bank_ret,relative_strength,breadth_signal,vix,usd_inr,crude,vix_ret,vix_signal,usd_mom,crude_mom,vol_20,vol_signal,position,position_change,cost,strategy_ret,equity_curve,mom_5,mom_20,ma_20,ma_50,trend_signal,mom_diff,trend_slope,trend_direction,rolling_max,drawdown,dd_signal,dd_regime,mom_5_norm,mom_20_norm,mom_diff_norm,vol_signal_norm,trend_signal_norm,trend_slope_norm,drawdown_norm,dd_signal_norm,vix_signal_norm,usd_mom_norm,crude_mom_norm,breadth_signal_norm
2020-01-15,12343.2998046875,-0.0015369308543056,31824.53125,-0.0076936783996875,-0.0061567475453819,-0.0021429497832933,14.119999885559082,70.84510040283203,57.810001373291016,0.015097055388253,-0.0191507687332482,-0.0060427549559196,-0.053226333555597,0.0073558426235744,0.0076270973113295,1,0.0,0.0,-0.0015369308543056,1.1647706855223696,0.0264399959785472,0.0146567862464035,12214.882470703124,12075.11603515625,0.0113232634513015,0.0117832097321437,0.0053480391966827,1,12362.2998046875,-0.0015369308543055,-0.0003073861708611,1,0.9699237215395924,0.0813544734302818,0.4480915890364129,-0.2846255800515707,0.1682988828225727,0.2457491273638663,0.8780278150382023,0.9057478904536213,-0.8494433710867368,-0.8693990361949464,-0.4236996623936864,-0.8785688742456459
2020-01-16,12355.5,0.0009884063018437,31853.529296875,0.0009111853572076,-7.722094463602502e-05,-0.002394334554901,14.18000030517578,70.71800231933594,58.52000045776367,0.0042493215370393,0.002670966511783,-0.0043224104181273,-0.0434782581586074,0.0072989061224698,0.0075234641992303,1,0.0,0.0,0.0009884063018437,1.1647706855223696,0.0114276970924005,0.0109518440715399,12221.574951171877,12083.88203125,0.0111442612538445,0.0004758530208606,0.0046471151827626,1,12362.2998046875,-0.0005500436646037,-0.0004173949037818,1,0.3626627062776383,0.008974906960333,0.1923698473007302,-0.3013140527630714,0.1626160687084407,0.1957674270308949,0.8947750339145126,0.9038614336959748,0.0364752996323155,-0.6766236828159725,-0.3531128979326907,-0.9830719345136923
2020-01-17,12352.349609375,-0.0002549788049855,31590.283203125,-0.0082642677141533,-0.0080092889091677,-0.0024929320038509,14.130000114440918,70.94560241699219,58.540000915527344,-0.0035261064639479,0.0008228891660498,-0.0065728277325148,-0.0715305055687017,0.0072759599428098,0.0074226708560603,-1,2.0,0.001,-0.0012549788049855,1.1647706855223696,0.0077956567954187,0.0075572332590909,12226.207421875,12091.60802734375,0.0108966632897999,0.0002384235363277,0.0038697012192296,1,12362.2998046875,-0.000804882220113,-0.0005783713478044,1,0.2157434039812515,-0.057342041413714,0.1870002562570893,-0.3175452256278152,0.1547555327781987,0.1403313583725264,0.8904504899222793,0.9011009701165316,-0.0385529328676985,-0.928797002462707,-0.5562419567363808,-1.0240598395645464
2020-01-20,12224.5498046875,-0.0103461939411514,31080.2890625,-0.0161440192652198,-0.0057978253240683,-0.0023886039177598,15.40999984741211,71.03469848632812,58.540000915527344,0.0905873830576282,0.0160994593805747,-0.0097071600010465,-0.0747589617198417,0.0076592052722781,0.0074318442818526,-1,0.0,0.0,0.0103461939411514,1.1647706855223696,-0.0085161260275764,-0.0038502909721482,12223.844921875,12095.85802734375,0.0104696611798475,-0.0046658350554281,0.0027236112909641,1,12362.2998046875,-0.0111427486937154,-0.0028069210865475,1,-0.4440829072951166,-0.2801988686954837,0.0760879023773763,-0.3160679905732581,0.1411994220059576,0.0586056331704039,0.7150195852007346,0.862885252120459,0.5816451689619812,-1.2800185150143213,-0.5796195225257824,-0.9806896536988636
2020-01-21,12169.849609375,-0.0044746183856623,30947.19140625,-0.0042823815435677,0.0001922368420945,-0.0023893343978893,15.859999656677246,71.03099822998047,58.34000015258789,0.0292018049137559,0.0271218916865457,-0.0105312146558509,-0.0695374889521318,0.0077192589965696,0.0074618345915403,-1,0.0,0.0,0.0044746183856623,1.1647706855223696,-0.015567507531206,-0.0075758203196673,12219.19990234375,12101.09201171875,0.0097049589284993,-0.0079916872115387,0.0010873118649557,1,12362.2998046875,-0.015567507531206,-0.0059204225927887,1,-0.7293176420528238,-0.3529806251487896,0.0008720293990957,-0.3112385257941482,0.1169222856980973,-0.0580760982891316,0.6399325788036465,0.8094941639727166,1.029133806641244,-1.3723589873986302,-0.5418103290815397,-0.9809933212938
2020-01-22,12106.900390625,-0.0051725551893021,30701.091796875,-0.0079522437478865,-0.0027796885585843,-0.0028142888055061,16.360000610351562,71.16999816894531,56.7400016784668,0.0315259120112156,0.0304076630111382,-0.013719587623634,-0.048146265769143,0.0077544785652889,0.0075415617798832,-1,0.0,0.0,0.0051725551893021,1.1647706855223696,-0.0191520434408248,-0.0088132117666087,12213.817431640626,12104.961015625,0.0089912704741437,-0.0103388316742161,-8.79695899145541e-05,1,12362.2998046875,-0.0206595389286432,-0.0097449442076562,1,-0.8743153490813418,-0.3771542430505422,-0.0522098610397367,-0.2983997237927998,0.0942646933382082,-0.1418834216474661,0.5535221306513175,0.7439103284572962,1.162529530284834,-1.729636097922732,-0.3869143962067775,-1.157650943735836
2020-01-23,12180.349609375,0.0060667236352978,31003.689453125,0.0098562506588382,0.0037895270235404,-0.0031416972581878,15.859999656677246,71.0781021118164,55.59000015258789,-0.0305624043411066,0.023445317835509,-0.0046743085357733,-0.0666554924305865,0.007710507724025,0.0076238821001943,-1,0.0,0.0,-0.0060667236352978,1.1647706855223696,-0.0141759047084294,0.0044365302212097,12216.507421875,12111.75900390625,0.0085997874714635,-0.0186124349296391,-0.0004160413665774,1,12362.2998046875,-0.0147181510064582,-0.0125785656760272,1,-0.6730260541081856,-0.1183079410965098,-0.2393216935333187,-0.285143338924238,0.0818362138855564,-0.1652776625397992,0.6543459380734853,0.6953186919053751,0.879872284478266,-0.7160560653953704,-0.5209415112524787,-1.293757777272508
2020-01-24,12248.25,0.0055745847042631,31241.38671875,0.0076667412755626,0.0020921565712994,-0.002613257050423,15.5600004196167,71.32099914550781,54.18999862670898,-0.0189154630236226,0.020367446523574,0.0017796559403291,-0.0821477339703568,0.0074874588254373,0.0076661818767198,-1,0.0,0.0,-0.0055745847042631,1.1647706855223696,-0.0084275148183947,0.0002000845474838,12216.629931640626,12119.28201171875,0.0079479043881269,-0.0086275993658786,-0.0007819476443062,1,12362.2998046875,-0.0092256138816707,-0.0142627120083387,1,-0.4404985040495268,-0.2010709335443095,-0.0135094540767391,-0.2783316293079846,0.0611407674643523,-0.1913698174099256,0.7475528642297267,0.6664385371658018,0.7549168842456179,0.0071509755457472,-0.633122342853179,-1.0740801153086263
2020-01-27,12119.0,-0.0105525279121506,30837.041015625,-0.012942629812342,-0.0023901019001913,-0.0025087423133818,17.18000030517578,71.32499694824219,53.13999938964844,0.1041131003773447,0.0230725899875174,0.0052428227586551,-0.0850551357724801,0.0078479908992955,0.0077039390021232,-1,0.0,0.0,0.0105525279121506,1.1647706855223696,-0.0086342488168379,-0.0111660646741551,12209.787451171876,12123.7530078125,0.0070991371696818,0.0025318158573172,-0.0011599530244347,1,12362.2998046875,-0.0196807882458283,-0.0159703199187613,1,-0.4488610805433661,-0.4231194606917693,0.2388665141086226,-0.2722514417675757,0.0341948059224495,-0.2183247387118334,0.5701312751224218,0.6371560575253079,0.8647402816414211,0.3952204538084399,-0.6541751227961131,-1.030632336853056
2020-01-28,12055.7998046875,-0.0052149678449129,30761.04296875,-0.0024645051656055,0.0027504626793073,-0.0016386490065788,17.299999237060547,71.44000244140625,53.47999954223633,0.0069848038273092,0.018629189770228,0.0101967059319032,-0.0815730729407726,0.0077745358188174,0.0077149943665728,-1,0.0,0.0,0.0052149678449129,1.1647706855223696,-0.0093715048540651,-0.0092575791343086,12204.154931640624,12127.17900390625,0.0063849706350005,-0.0001139257197564,-0.0012479446363462,1,12362.2998046875,-0.0247931214128767,-0.0178154426950954,1,-0.4786837514793769,-0.3858353818941452,0.1790316949243432,-0.2704711502739048,0.0115220358627266,-0.2245992710306491,0.4833763112211774,0.6055154392062914,0.684347147467084,0.9503340129485056,-0.6289611663041446,-0.6689262052598695
