Price,Close,High,Low,Open,Volume,returns,log_returns,volatility_20,momentum_20,drawdown
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,
Date,,,,,,,,,,
2018-01-31,11027.7001953125,11058.5,10979.2998046875,11018.7998046875,245900,-0.001986505865481769,-0.0019884815852113905,0.004479244704211443,0.056070558794958814,-0.00922699918315635
2018-02-01,11016.900390625,11117.349609375,10878.7998046875,11044.5498046875,306200,-0.000979334267002474,-0.000979814128127614,0.004518935781517795,0.054935286558042806,-0.01019729713367721
2018-02-02,10760.599609375,10954.9501953125,10736.099609375,10938.2001953125,282700,-0.023264327729431322,-0.023539213933076866,0.007286043662964973,0.024350754840026134,-0.033224391600636276
2018-02-05,10666.5498046875,10702.75,10586.7998046875,10604.2998046875,240100,-0.00874020111347329,-0.00877862069830589,0.007550017023255531,0.010199993303898758,-0.04167420484964725
2018-02-06,10498.25,10594.150390625,10276.2998046875,10295.150390625,266500,-0.015778279553294694,-0.01590408165467595,0.008252062130954979,-0.011799165441474524,-0.05679493714866291
2018-02-07,10476.7001953125,10614.0,10446.400390625,10607.2001953125,250400,-0.0020527044686019513,-0.0020548141539544224,0.008246820526650028,-0.01507002018308734,-0.058731058395985795
2018-02-08,10576.849609375,10637.7998046875,10479.5498046875,10518.5,232200,0.009559251691416026,0.009513851145813865,0.008562155618860088,-0.005205939026797335,-0.04973323167388022
2018-02-09,10454.9501953125,10480.2001953125,10398.2001953125,10416.5,191600,-0.011525115565078292,-0.0115920444485001,0.008907890201409635,-0.01842515363539665,-0.06068516599649222
2018-02-12,10539.75,10555.5,10485.400390625,10518.2001953125,217400,0.008110971654893273,0.008078254517088934,0.009100377348832081,-0.013247513165593916,-0.05306641000286904
2018-02-14,10500.900390625,10590.5498046875,10456.650390625,10585.75,229200,-0.0036860086221209842,-0.003692818691702758,0.009000529744991588,-0.022403602686595803,-0.05655681538017448
2018-02-15,10545.5,10618.099609375,10511.0498046875,10537.900390625,210600,0.004247217640005241,0.004238223668407977,0.009052417403992633,-0.014480717398262177,-0.05254980684411447
2018-02-16,10452.2998046875,10612.900390625,10434.0498046875,10596.2001953125,184300,-0.00883791146104973,-0.008877197442514924,0.00897122481967447,-0.03116730293573866,-0.060923287764980655
2018-02-19,10378.400390625,10489.349609375,10302.75,10488.900390625,187300,-0.0070701582851038225,-0.007095270288084443,0.008995702076605452,-0.04054725056623831,-0.06756270876233711
2018-02-20,10360.400390625,10429.349609375,10347.650390625,10391.0,187700,-0.001734371321447492,-0.0017358770846747271,0.00873221608770013,-0.04904217602218974,-0.06917990125930794
2018-02-21,10397.4501953125,10426.099609375,10349.599609375,10426.0,234100,0.003576097765586983,0.003569718731482044,0.008593968516649064,-0.0518639081787976,-0.06585119758403794
2018-02-22,10382.7001953125,10397.5498046875,10340.650390625,10354.349609375,313600,-0.0014186170381128571,-0.0014196242279203768,0.008011303045114975,-0.06324602683645897,-0.06717639699127793
2018-02-23,10491.0498046875,10499.099609375,10396.650390625,10408.099609375,210600,0.010435590678416817,0.010381515779008083,0.008550636813807837,-0.053666804556422476,-0.05744183169511289
2018-02-26,10582.599609375,10592.9501953125,10520.2001953125,10526.5498046875,171900,0.008726467454819975,0.008688611908417675,0.008924856060504667,-0.04399875010167331,-0.04921662851512565
2018-02-27,10554.2998046875,10631.650390625,10537.25,10615.2001953125,187500,-0.0026741826897078713,-0.002677764703635068,0.00873904115271238,-0.05175919694881259,-0.05175919694881259
2018-02-28,10492.849609375,10535.5,10461.5498046875,10488.9501953125,286000,-0.005822290104475547,-0.0058393057141950064,0.00870483251188843,-0.050390805280356554,-0.057280129993077446
2018-03-01,10458.349609375,10525.5,10447.150390625,10479.9501953125,176000,-0.0032879533476946055,-0.003293370543887722,0.008705296549559812,-0.05162913171864347,-0.06037974894560488
2018-03-05,10358.849609375,10428.7001953125,10323.900390625,10428.2998046875,194000,-0.009513929416818057,-0.009559475957881534,0.008829410311412492,-0.05973102759556381,-0.06931922969274922
2018-03-06,10249.25,10441.349609375,10215.900390625,10420.5,222900,-0.010580287725753812,-0.01063665692404489,0.007680928744825392,-0.047520549777681054,-0.07916610002342613
2018-03-07,10154.2001953125,10243.349609375,10141.5498046875,10232.9501953125,249500,-0.00927383024977435,-0.009317099938461516,0.007704989058306854,-0.04803330212266421,-0.0877057573000466
2018-03-08,10242.650390625,10270.349609375,10146.400390625,10216.25,226400,0.008710700361544088,0.00867298109371104,0.0074123776540803024,-0.024346877753435137,-0.07975903551032548
2018-03-09,10226.849609375,10296.7001953125,10211.900390625,10271.2998046875,186500,-0.001542645765246653,-0.0015438368683495453,0.007410186677563935,-0.02384821377720525,-0.08117864133720201
2018-03-12,10421.400390625,10433.650390625,10295.4501953125,10301.599609375,216400,0.019023530088059015,0.018844845326350685,0.008371882416506403,-0.01469711913197802,-0.063699415575129
2018-03-13,10426.849609375,10478.599609375,10377.849609375,10389.5,266700,0.0005228873803659884,0.000522750722395459,0.007976607985007284,-0.002687778077613334,-0.06320983581530384
2018-03-14,10410.900390625,10420.349609375,10336.2998046875,10393.0498046875,181400,-0.001529629691374823,-0.0015308007692338495,0.0077418562152464935,-0.012225110593230393,-0.06464277786502864
2018-03-15,10360.150390625,10420.0,10346.2001953125,10405.4501953125,173900,-0.004874698450260895,-0.004886618546444992,0.007771410286164445,-0.013403612525042075,-0.06920236226621031
2018-03-16,10195.150390625,10346.2998046875,10180.25,10345.150390625,328500,-0.01592640973139836,-0.0160545978679463,0.008387660503214016,-0.033222664584419914,-0.08402662682177629
2018-03-19,10094.25,10224.5498046875,10075.2998046875,10215.349609375,210200,-0.009896900659531527,-0.00994620052782473,0.00843858196897603,-0.03425560033466768,-0.0930919243028972
2018-03-20,10124.349609375,10155.650390625,10049.099609375,10051.5498046875,203000,0.002981856935879268,0.002977420018466655,0.008401641742488315,-0.024478799399519136,-0.09038765416717481
2018-03-21,10155.25,10227.2998046875,10132.9501953125,10181.9501953125,204800,0.003052086486265315,0.003047438325629427,0.0084537767180662,-0.019801395977962266,-0.08761143861871827
2018-03-22,10114.75,10207.849609375,10105.400390625,10167.5,230500,-0.003988084980675044,-0.003996058598285198,0.008408979879651453,-0.027189377203263754,-0.09125012173690264
2018-03-23,9998.0498046875,10027.7001953125,9951.900390625,9968.7998046875,285700,-0.011537625281148767,-0.011604700101594518,0.008712653608330234,-0.03704724044701391,-0.10173493730659186
2018-03-26,10130.650390625,10143.5,9958.5498046875,9989.150390625,262600,0.013262645068574441,0.01317546616079525,0.008942364284554093,-0.03435303623298691,-0.08982156660258846
2018-03-27,10184.150390625,10207.900390625,10139.650390625,10188.0,225700,0.005281003483202706,0.005267107884641591,0.008762129459698276,-0.037651355381244755,-0.0850149111254807
2018-03-28,10113.7001953125,10158.349609375,10096.900390625,10143.599609375,344400,-0.006917631084606968,-0.006941668814759831,0.00883344172219337,-0.04174598197213575,-0.09134444041823096
2018-04-02,10211.7998046875,10220.099609375,10127.75,10151.650390625,225400,0.009699675438319622,0.009652935584409928,0.009164211980791722,-0.026784888295396048,-0.0825307764050632
2018-04-03,10245.0,10255.349609375,10171.0498046875,10186.849609375,205300,0.0032511600254110373,0.0032458864317621047,0.009206734263602783,-0.02039993090150194,-0.07954793714076647
2018-04-04,10128.400390625,10279.849609375,10111.2998046875,10274.599609375,231100,-0.011381123413860439,-0.011446384030859532,0.009306646282885148,-0.022246603381657182,-0.0900237156647098
2018-04-05,10325.150390625,10331.7998046875,10227.4501953125,10228.4501953125,236800,0.019425574859986305,0.019239306758980577,0.01008139292295124,0.007405458021318534,-0.07234690323254249
2018-04-06,10331.599609375,10350.4501953125,10290.849609375,10322.75,200200,0.0006246125727966678,0.0006244175835545499,0.0098201849607157,0.01747054525716285,-0.07176747944510785
2018-04-09,10379.349609375,10397.7001953125,10328.5,10333.7001953125,221600,0.004621743176794313,0.004611095715747583,0.009690992864683227,0.013346078752733748,-0.06747742712675465
2018-04-10,10402.25,10424.849609375,10381.5,10412.900390625,251700,0.002206341580816895,0.0022039111834326382,0.009681429256328549,0.01715096997849752,-0.06541996379917403
2018-04-11,10417.150390625,10428.150390625,10355.599609375,10428.150390625,250400,0.0014324199692374862,0.001431395034394698,0.008696781071670453,-0.0004078146737191979,-0.06408125269246934
2018-04-12,10458.650390625,10469.900390625,10395.25,10410.650390625,238600,0.003983815001590951,0.0039759006232568585,0.008741724608525991,0.0030498935384477566,-0.060352725546675465
2018-04-13,10480.599609375,10519.900390625,10451.4501953125,10495.2998046875,213100,0.002098666456015641,0.002096467331850084,0.008741839718090996,0.006694831007389546,-0.05838071933129371
2018-04-16,10528.349609375,10540.150390625,10396.349609375,10398.2998046875,195000,0.004556037037927396,0.004545689717794212,0.00869829202838727,0.016235210147355073,-0.054090667012940526
2018-04-17,10548.7001953125,10560.4501953125,10495.650390625,10557.2998046875,206100,0.001932932196645476,0.0019310664870136763,0.007751489729698158,0.034678233389534796,-0.05226228840810246
2018-04-18,10526.2001953125,10594.2001953125,10509.7001953125,10578.900390625,205400,-0.002132964212026689,-0.0021352422200410556,0.007320773426092909,0.04279170768630647,-0.054283779029316
2018-04-19,10565.2998046875,10572.2001953125,10546.2001953125,10563.650390625,262600,0.0037145036812440413,0.0037076219486611,0.007327129330297356,0.043553434277317615,-0.0507709126451082
2018-04-20,10564.0498046875,10582.349609375,10527.4501953125,10560.349609375,244600,-0.00011831183431687542,-0.00011831883371402492,0.0073410793331081005,0.04025502126363212,-0.050883217679620056
2018-04-23,10584.7001953125,10638.349609375,10514.9501953125,10592.7998046875,194200,0.0019547797489403163,0.0019528716532068399,0.0072049227501790125,0.04646186957784426,-0.04902790341416079
2018-04-24,10614.349609375,10636.7998046875,10569.0,10578.099609375,219200,0.0028011576629851653,0.002797241731914462,0.006427156339592714,0.06164200186305857,-0.04636408063852431
2018-04-25,10570.5498046875,10612.599609375,10536.4501953125,10612.400390625,189200,-0.00412647089076601,-0.004135008266019891,0.006137548762054543,0.04342262313874601,-0.050299231500158366
2018-04-26,10617.7998046875,10628.400390625,10559.650390625,10586.5,335100,0.0044699661676110836,0.004460005540255803,0.006118390287711684,0.042580814052166405,-0.046054101195609924
2018-04-27,10692.2998046875,10719.7998046875,10647.5498046875,10651.650390625,0,0.007016519558704637,0.006992018327494462,0.00582314240182562,0.057209487942224024,-0.039360721138702856
2018-04-30,10739.349609375,10759.0,10704.599609375,10705.75,173800,0.004400344691688707,0.004390691482923282,0.005609384262228235,0.051660805614828,-0.03513357718733796
2018-05-02,10718.0498046875,10784.650390625,10689.7998046875,10783.849609375,229700,-0.0019833421447520427,-0.0019853115722468315,0.005695740650591397,0.046173724225231805,-0.03704723742775847
2018-05-03,10679.650390625,10720.599609375,10647.4501953125,10720.150390625,185200,-0.003582686660562606,-0.003589119852419833,0.004926683293701389,0.05442616590377347,-0.04049719544497799
2018-05-04,10618.25,10700.4501953125,10601.599609375,10700.4501953125,186500,-0.0057492884485150775,-0.005765879228025447,0.003397798597441183,0.028386957892751585,-0.04601365383552401
2018-05-07,10715.5,10725.650390625,10635.650390625,10653.150390625,168400,0.00915875968262192,0.009117072584576636,0.0038058690289470205,0.03715788504585915,-0.03727632215050103
2018-05-08,10717.7998046875,10758.5498046875,10689.400390625,10757.900390625,269800,0.00021462411343375898,0.00021460108497364168,0.0037632350415252275,0.03260803499737586,-0.03706969843466084
2018-05-09,10741.7001953125,10766.25,10689.849609375,10693.349609375,215400,0.0022299717349214543,0.002227489038162844,0.003763435037647839,0.032632381966641866,-0.034922391079470726
2018-05-10,10716.5498046875,10785.5498046875,10705.0,10779.650390625,192100,-0.0023413789407356056,-0.002344124254457977,0.0038661973899007996,0.02874100908939048,-0.037182003469172706
2018-05-11,10806.5,10812.0498046875,10724.4501953125,10741.9501953125,203100,0.00839357787271755,0.008358547680564028,0.004136133771294162,0.033259512115139334,-0.029100515638037363
2018-05-14,10806.599609375,10834.849609375,10774.75,10815.150390625,171400,9.217542682682378e-06,9.217500201396874e-06,0.004150444971245466,0.0311050905626038,-0.0290915663305997
2018-05-15,10801.849609375,10929.2001953125,10781.400390625,10812.599609375,254300,-0.0004395462191344457,-0.00043964284789006357,0.004109558647680804,0.025977480815840392,-0.029518325461744783
2018-05-16,10741.099609375,10790.4501953125,10699.7001953125,10751.9501953125,231100,-0.005624036826737067,-0.005639911268794516,0.004385580613768009,0.018239158427120428,-0.034976350139021346
2018-05-17,10682.7001953125,10777.25,10664.5,10775.599609375,214100,-0.005437005165795927,-0.005451839472282671,0.0045649329580814664,0.01486766326843103,-0.04022318870843069
2018-05-18,10596.400390625,10674.9501953125,10589.099609375,10671.849609375,223000,-0.008078463600931896,-0.008111271197454395,0.004910181985036714,0.002943653896475551,-0.047976710743468105
2018-05-21,10516.7001953125,10621.7001953125,10505.7998046875,10616.7001953125,0,-0.007521440524559053,-0.007549869197766206,0.005202485276514272,-0.004482145602341836,-0.055137297291606165
2018-05-22,10536.7001953125,10558.599609375,10490.5498046875,10518.4501953125,241700,0.0019017372016476575,0.0018999311888009693,0.005201336091981208,-0.004534847384837337,-0.05334041673941635
2018-05-23,10430.349609375,10533.5498046875,10417.7998046875,10521.099609375,290900,-0.010093348388598211,-0.010144631600820039,0.005592339422839106,-0.01733502350793914,-0.06289538171867062
2018-05-24,10513.849609375,10535.150390625,10419.7998046875,10464.849609375,297600,0.008005484296034426,0.007973610404251362,0.005870341245646023,-0.005363977878175885,-0.05539340541327814
2018-05-25,10605.150390625,10628.0498046875,10524.0,10533.0498046875,260800,0.00868385840031305,0.008646370571623485,0.006119108688113808,-0.0011913404184655807,-0.04719057550188506
2018-05-28,10688.650390625,10709.7998046875,10640.5498046875,10648.349609375,232600,0.007873532851907061,0.00784269833741265,0.006173893529854202,-0.0003413123583478894,-0.03968859919649257
2018-05-29,10633.2998046875,10717.25,10616.099609375,10689.400390625,225800,-0.005178444790938985,-0.005191899405584954,0.006186179701419482,-0.009874881491419463,-0.04466151876766282
2018-05-30,10614.349609375,10648.7001953125,10558.4501953125,10579.0,238700,-0.0017821556488181178,-0.0017837455774774606,0.006183765987601697,-0.009675285821787005,-0.04636408063852431
2018-05-31,10736.150390625,10763.7998046875,10620.400390625,10670.099609375,610300,0.011475105468772284,0.011409765823805856,0.006681220516359656,0.005290435354475376,-0.03542100788504176
2018-06-01,10696.2001953125,10764.75,10681.5,10738.4501953125,220600,-0.0037210912532843476,-0.003728031736138272,0.006599703903908893,0.007341152761754621,-0.03901029433570256
