Date,nifty_close,nifty_ret,bank_close,bank_ret,relative_strength,breadth_signal,vix,usd_inr,crude,vix_ret,vix_signal,usd_mom,crude_mom,vol_20,vol_signal,position,position_change,cost,strategy_ret,equity_curve,mom_5,mom_20,ma_20,ma_50,trend_signal,mom_diff
2018-12-19,10967.2998046875,0.0053718232535331,27298.083984375,0.0045521244301489,-0.0008196988233841,0.0011989038384428,14.65999984741211,70.56999969482422,47.20000076293945,0.0054869632458625,-0.0148369615355828,-0.0008494628476124,-0.1136150091466768,0.0091330580065486,0.0094274764412936,1,0.0,0.0,0.0053718232535331,1.066559560482272,0.0213921363869769,0.02919423468713056,10743.64248046875,10553.6230078125,0.017326003304389822,-0.007802098300153659
2018-12-20,10951.7001953125,-0.0014223746640291,27274.783203125,-0.0008535683773021,0.000568806286727,0.0007817970903177,14.329999923706056,70.68550109863281,45.880001068115234,-0.0225102269536727,-0.0160499465596998,-0.0026033814138396,-0.1089532030972466,0.0090232935648974,0.0093274080071677,1,0.0,0.0,-0.0014223746640291,1.065042513185764,0.014840351341883773,0.03317440928150117,10761.225,10565.696015625,0.017853756118953037,-0.0183340579396174
2018-12-21,10754.0,-0.0180520094402436,26869.337890625,-0.0148652075244927,0.0031868019157509,0.0004619428173606,15.989999771118164,70.30000305175781,45.59000015258789,0.115840883199586,0.0121343116048352,-0.0063603808938824,-0.1334347153834173,0.0098837254219637,0.0094038138101957,1,0.0,0.0,-0.0180520094402436,1.0458163556834736,-0.004761504091224222,0.02158785950079567,10772.5875,10574.75501953125,0.018396176350078952,-0.026349363592019892
2018-12-24,10663.5,-0.0084154733122558,26714.439453125,-0.0057648773531574,0.0026505959590984,0.0006563533177206,15.75,70.13999938964844,42.52999877929688,-0.0150093667638233,0.0173118563496891,-0.0171652562291044,-0.1660784553079044,0.0098868924734619,0.0094709605386632,1,0.0,0.0,-0.0084154733122558,1.0370153160526987,-0.02065047665087849,0.003283630196607934,10774.33251953125,10578.82302734375,0.018334457934777573,-0.023934106847486425
2018-12-26,10729.849609375,0.0062221230716932,26986.486328125,0.0101835142555528,0.0039613911838596,0.0013984959269038,15.920000076293944,70.23999786376953,46.220001220703125,0.0107936556377108,0.0189203816731326,-0.0342362900898544,-0.1051306901211825,0.0099122936545875,0.0095678526242918,1,0.0,0.0,0.0062221230716932,1.0434677529764094,-0.016395224246272044,0.0041410872218323735,10776.54501953125,10588.72701171875,0.017504253521726566,-0.020536311468104418
2018-12-27,10779.7998046875,0.0046552558638712,26878.23828125,-0.0040111945497026,-0.0086664504135739,0.0004819033890114,16.06999969482422,70.1500015258789,44.61000061035156,0.0094220865459437,0.0197074063331489,-0.0340126842093706,-0.1278592516213021,0.0099254597617897,0.00972633297534,1,0.0,0.0,0.0046552558638712,1.0483253623522133,-0.017096277419156647,0.004748896402460456,10779.092529296875,10594.8730078125,0.017089326779915516,-0.021845173821617103
2018-12-28,10859.900390625,0.007430619064249,27124.935546875,0.0091783272044692,0.0017477081402201,0.0005116868826118,15.270000457763672,69.98999786376953,45.33000183105469,-0.0497821563318515,0.0142530204575131,-0.0299376800613735,-0.1378851226231419,0.0096846991048957,0.0098586140833397,1,0.0,0.0,0.007430619064249,1.0561150687752434,-0.00838224230487905,0.00011052845100345543,10779.1525390625,10601.821015625,0.016329019333417016,-0.008492770755882506
2018-12-31,10862.5498046875,0.0002439630168971,27159.8828125,0.0012883815176116,0.0010444185007145,0.0007089494506234,16.0,69.92250061035156,45.40999984741211,0.0478061244500602,0.0006460687076079,-0.0227053059734214,-0.1130859536962813,0.0096774643415981,0.0098173618672666,1,0.0,0.0,0.0002439630168971,1.0563727217936123,0.010093900380091059,-0.001305554996896996,10778.442529296875,10607.37701171875,0.015748191783139645,0.011399455376988055
2019-01-02,10792.5,-0.006448744166611,27174.3828125,-0.0079475236129054,-0.0014987794462943,0.000618745081116,16.389999389648438,69.70999908447266,46.540000915527344,0.0243749618530273,0.0085229344309781,-0.0305938599026374,-0.0669607073188881,0.0097812311323668,0.0097962295990476,1,0.0,0.0,-0.006448744166611,1.0495604443661788,0.01209734139822749,-0.008384058803261762,10773.880029296875,10614.166015625,0.01479861141272878,0.020481400201489253
2019-01-03,10672.25,-0.0111419967570072,26959.537109375,-0.0079061851968234,0.0032358115601838,0.0005410604863302,16.790000915527344,69.95999908447266,47.09000015258789,0.0244052190832624,0.0112452471200884,-0.0227685058918665,0.0183823192748049,0.0100733968693572,0.0098284502420015,1,0.0,0.0,-0.0111419967570072,1.0378662452987677,-0.0053681655821786745,-0.01814710888265325,10764.017529296874,10621.54001953125,0.013350278504122733,0.012778943300474577
2019-01-04,10727.349609375,0.0051628859308019,27194.68359375,0.0087222003634932,0.0035593144326913,0.0009789618119377,16.15999984741211,70.30000305175781,47.959999084472656,-0.0375223962931777,0.0018563505522641,-0.0038259408280287,0.0161016590942502,0.0100139825780702,0.0098461548052576,1,0.0,0.0,0.0051628859308019,1.043224630334675,-0.00486560012827808,-0.005151747603854173,10761.239990234375,10631.18201171875,0.012123961952536911,0.0002861474755760929
2019-01-07,10771.7998046875,0.0041436325775803,27304.234375,0.0040283896252124,-0.0001152429523678,0.0009105568880282,16.299999237060547,69.5250015258789,48.52000045776367,0.0086633286491557,0.0135454475484656,-0.0164177880147524,0.0575413977373058,0.00924853001523,0.0097589209873245,1,0.0,0.0,0.0041436325775803,1.047547369898664,-0.008112467220560693,0.016097254333210076,10769.7724609375,10643.68201171875,0.011705606445069575,-0.02420972155377077
2019-01-08,10802.150390625,0.0028175965472634,27509.1796875,0.0075059900851002,0.0046883935378367,0.0010607160502368,15.699999809265137,69.80999755859375,49.77999877929688,-0.0368097825692665,-0.0033777338553997,-0.0069702058590708,0.0919060893328631,0.0090759190563833,0.0096386119302815,1,0.0,0.0,0.0028175965472634,1.0504989357511854,-0.005560334833763947,0.010141503252544704,10775.194970703125,10655.23001953125,0.011105654599661171,-0.01570183808630865
2019-01-09,10855.150390625,0.0049064304868406,27720.078125,0.0076664749692929,0.0027600444824522,0.0010716609025722,15.270000457763672,70.33000183105469,52.36000061035156,-0.027388494058943,-0.0137304250377938,0.0027089028095186,0.2311310160638853,0.0078321102904175,0.0092487877618916,1,0.0,0.0,0.0049064304868406,1.0556531357559489,0.005804993340282616,0.034962285989248,10793.52998046875,10669.83501953125,0.011395048109543221,-0.029157292648965383
2019-01-10,10821.599609375,-0.0030907707440862,27528.23046875,-0.0069208916145505,-0.0038301208704643,0.0002925096971398,15.350000381469728,70.55049896240234,52.59000015258789,0.0052390256259213,-0.017563663729262,0.0044205738621323,0.1378190991702415,0.007842763806967,0.0088026611494136,1,0.0,0.0,-0.0030907707440862,1.0523903539280517,0.013994200789430478,0.025826650361542303,10807.15244140625,10685.66701171875,0.011226198905220487,-0.011832449572111825
2019-01-11,10794.9501953125,-0.0024626132017869,27453.58203125,-0.0027117049018003,-0.0002490917000134,0.0011342455684958,15.350000381469728,70.72000122070312,51.59000015258789,0.0,-0.0100591844706265,0.0081254409469107,0.1564671474274011,0.0068364707519628,0.0081671587841921,1,0.0,0.0,-0.0024626132017869,1.0497987235490351,0.006301704372384975,0.00534109931678084,10810.019970703124,10696.5490234375,0.010511484093265903,0.0009606050556041357
2019-01-14,10737.599609375,-0.0053127235327499,27247.93359375,-0.0074907688645479,-0.0021780453317979,0.000741670221294,16.15999984741211,70.37000274658203,50.5099983215332,0.0527686935382882,-0.0012381114927999,0.0054294169797255,0.1142730262792488,0.0068503371823329,0.0076875202176127,1,0.0,0.0,-0.0053127235327499,1.0442214331657853,-0.0031749750211303995,-0.004999300034649878,10807.3224609375,10707.3330078125,0.009312086198268975,0.0018243250135194788
2019-01-15,10886.7998046875,0.0138951162960325,27400.431640625,0.0055966830053482,-0.0082984332906843,-0.0001926149578458,15.579999923706056,71.08499908447266,52.11000061035156,-0.035891084726646,-0.0010543719242758,0.0166255277482023,0.1475446109987441,0.0075422893349418,0.0073807942733244,0,1.0,0.0005,0.0133951162960325,1.0582089007018507,0.007836348412253669,0.007528571961794794,10811.38994140625,10717.33701171875,0.008639171416287545,0.00030777645045887425
2019-01-16,10890.2998046875,0.000321490250835,27483.37890625,0.0030272247792628,0.0027057345284278,0.0002278364396264,16.079999923706055,71.09249877929688,52.310001373291016,0.0320924263445736,0.0108418121564274,0.0198321576958986,0.1239793799797412,0.0073459308056935,0.0072835583763796,1,1.0,0.0005,-0.0005,1.0576797962515,0.003238040266384301,0.00017910843998070192,10811.487451171875,10727.53400390625,0.0077090115764755236,0.003058931826403599
2019-01-17,10905.2001953125,0.001368225934293,27528.4296875,0.0016392009659247,0.0002709750316316,-6.864721322881184e-05,16.239999771118164,71.36499786376953,52.06999969482422,0.0099502393141326,0.0117840548940697,0.0200828873310936,0.1057549272902826,0.0073402002644488,0.007183045667876,0,1.0,0.0005,0.000868225934293,1.058598101280783,0.007725344584461835,-0.00032084482452854335,10811.312451171874,10734.5780078125,0.007036500200368358,0.008046189408990378
2019-01-18,10906.9501953125,0.0001604738994844,27456.380859375,-0.002617251653759,-0.0027777255532435,-0.0007023512118222,16.6200008392334,71.03019714355469,53.79999923706055,0.0233990808787474,0.0164638710698191,0.0103868287354023,0.1217681456228096,0.0072315242369981,0.007262056364883,0,0.0,0.0,0.0,1.058598101280783,0.010375221559487446,-0.005502686208067931,10808.294970703126,10742.23701171875,0.006056501386864891,0.015877907767555377
2019-01-21,10961.849609375,0.0050334340103701,27533.279296875,0.0028007492281614,-0.0022326847822087,-0.0009140953948063,18.14999961853028,71.2300033569336,53.79999923706055,0.0920576836365218,0.0243216690894659,0.0245235784773056,0.1088210785136549,0.0073200246232105,0.0073559938530585,0,0.0,0.0,0.0,1.058598101280783,0.020884555967630503,0.0009267432345203552,10808.80244140625,10750.87400390625,0.005284549557262324,0.019957812733110147
2019-01-22,10922.75,-0.003566880660501,27481.9296875,-0.0018650015794097,0.0017018790810913,-0.0012127468404809,17.989999771118164,71.5,52.56999969482422,-0.0088154187754779,0.0297368022796995,0.024208601926791,0.0560466248281164,0.006036501702131,0.0070548363264964,0,0.0,0.0,-0.0,1.058598101280783,0.003302182088167127,0.015691835596057357,10817.23994140625,10757.36099609375,0.005482039350209345,-0.01238965350789023
